,Normal,eyes-mavis,ears-nimo,back-tri-spikes : reptile-back-04,mouth-goda : beast-mouth-04,horn-imp : beast-horn-04,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-clear,ears-curved-spine,back-hermit : aquatic-back-02,mouth-lam : aquatic-mouth-02,horn-rose-bud : plant-horn-06,tail-tiny-dino : reptile-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-crimson-gecko,ears-nut-cracker,back-hasagi : beast-back-02,mouth-nut-cracker : beast-mouth-02,horn-teal-shell : aquatic-horn-04,tail-carrot : plant-tail-02,,42.4915,49.99,74.985
,Normal,eyes-little-peas,ears-curved-spine,back-hasagi : beast-back-02,mouth-nut-cracker : beast-mouth-02,horn-teal-shell : aquatic-horn-04,tail-tiny-dino : reptile-tail-06,,16.8725,19.85,29.775
,Normal,eyes-confused,ears-friezard,back-raven : bird-back-06,mouth-toothless-bite : reptile-mouth-02,horn-beech : plant-horn-04,tail-iguana : reptile-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-tricky,ears-tiny-fan,back-garish-worm : bug-back-04,mouth-pincer : bug-mouth-04,horn-clamshell : aquatic-horn-06,tail-hatsune : plant-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-early-bird,back-blue-moon : aquatic-back-04,mouth-peace-maker : bird-mouth-04,horn-scaly-spear : reptile-horn-04,tail-tadpole : aquatic-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-the-last-leaf,back-jaguar : beast-back-06,mouth-zigzag : plant-mouth-04,horn-golden-shell : bird-horn-02,tail-ant : bug-tail-02,,42.4915,49.99,74.985
,Normal,eyes-confused,ears-the-last-leaf,back-ronin : beast-back-02,mouth-zigzag : plant-mouth-04,horn-scaly-spear : reptile-horn-04,tail-shiba : beast-tail-06,,16.8725,19.85,29.775
,Normal,eyes-neo,ears-nut-cracker,back-hero : beast-back-04,mouth-mosquito : bug-mouth-02,horn-imp : beast-horn-04,tail-swallow : bird-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-mavis,ears-clover,back-starry-balloon : bird-back-02,mouth-goda : beast-mouth-04,horn-merry : beast-horn-06,tail-snowy-swallow : bird-tail-02,,42.4915,49.99,74.985
,Normal,eyes-confused,ears-nimo,back-green-thorns : reptile-back-06,mouth-doubletalk : bird-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-hatsune : plant-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-lucas,ears-pointy-nyan,back-turnip : plant-back-02,mouth-skull-cracker : beast-mouth-02,horn-imp : beast-horn-04,tail-cattail : plant-tail-04,,42.4915,49.99,74.985
,Normal,eyes-sleepless,ears-bubblemaker,back-bone-sail : reptile-back-02,mouth-peace-maker : bird-mouth-04,horn-antenna : bug-horn-04,tail-cattail : plant-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-clover,back-turnip : plant-back-02,mouth-pincer : bug-mouth-04,horn-eggshell : bird-horn-02,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
